image_id,beauty_classification,outside,time_of_day,symmetry,religious_iconography,humans_present,animals_present,plants_present,body_of_water,food_present,cleanliness,trash_present,weather,man_made_art,buidlings_present,perspective,primary_color,scope,novelty,vehicles_present,macabre,metropolitan,clear_photo,liminal,ambiguous,text_present,rocky
1,0,1,night,0,0,0,0,1,0,0,1,0,clear,0,1,eye-level,blue,mid,mid,0,0,0,1,1,0,1,1
2,0,1,day,0,0,0,0,1,1,0,0,1,cloudy,0,1,birds-eye,yellow,mid,mid,1,0,0,1,0,0,0,0
3,0,0,night,0,0,0,0,0,0,1,0,1,inside,0,1,eye-level,white,mid,mid,0,0,0,1,0,0,1,0
4,1,1,night,0,0,0,0,1,0,0,1,0,snow,0,1,eye-level,brown,mid,old,1,0,0,1,0,0,1,0
5,1,1,day,0,0,0,0,0,1,0,1,0,clear,1,0,eye-level,gray,mid,mid,0,0,0,1,0,0,0,1
6,0,0,day,1,0,1,0,1,0,0,0,1,cloudy,0,1,eye-level,gray,mid,mid,0,0,0,1,1,0,1,0
7,1,1,day,0,0,1,0,1,0,0,0,0,cloudy,1,1,eye-level,gray,mid,new,1,1,1,1,0,0,1,0
8,1,1,day,1,1,0,0,1,0,0,1,0,clear,1,1,landscape,green,far,old,1,1,0,1,0,0,0,1
9,0,0,day,0,0,0,0,1,0,0,1,0,clear,0,1,landscape,green,far,new,1,0,0,1,1,0,1,0
10,0,0,day,1,1,0,0,0,0,0,1,0,clear,1,1,eye-level,brown,mid,old,0,0,0,0,0,0,0,0
11,1,0,unknown,0,0,0,0,0,0,0,0,0,inside,0,0,eye-level,brown,close,old,0,1,0,1,0,0,0,1
12,1,0,unknown,1,0,0,0,0,0,0,1,0,inside,1,1,eye-level,black,mid,old,0,1,0,1,0,1,0,1
13,0,1,day,0,0,0,0,1,0,0,0,0,snow,0,0,eye-level,white,mid,mid,0,0,0,1,0,0,0,0
14,1,0,night,0,0,0,0,0,0,0,0,0,inside,1,0,close-up,black,close,mid,0,0,0,0,0,1,0,0
15,1,1,night,0,0,1,0,1,0,0,1,0,clear,0,1,landscape,blue,far,new,1,0,1,1,0,0,1,0
16,0,1,day,0,0,1,0,1,0,0,0,1,cloudy,0,1,landscape,gray,mid,mid,1,0,0,1,0,0,1,0
17,1,1,transition,0,0,1,0,1,0,0,0,1,clear,0,0,eye-level,blue,mid,mid,1,0,0,0,0,1,0,0
18,0,0,unknown,0,0,0,1,0,0,0,0,0,inside,0,0,close-up,black,close,mid,0,0,0,0,0,0,0,0
19,1,1,transition,0,0,0,0,1,0,0,1,0,clear,0,1,landscape,orange,far,mid,1,0,0,1,0,0,1,0
20,0,0,unknown,0,0,1,0,0,0,0,1,0,inside,0,0,eye-level,yellow,mid,mid,0,0,0,0,0,1,0,0
21,1,0,unknown,0,0,0,0,0,0,0,1,0,inside,0,1,eye-level,gray,mid,new,0,0,1,1,1,0,1,0
22,1,0,unknown,0,0,0,0,0,0,1,0,0,inside,0,0,close-up,green,close,mid,0,0,0,1,0,0,0,0
23,0,0,unknown,0,0,0,0,0,0,1,0,0,inside,0,0,close-up,gray,close,mid,0,0,0,0,0,0,1,0
24,0,0,unknown,0,0,0,0,0,1,1,0,0,inside,0,0,birds-eye,white,close,mid,0,0,0,1,0,1,1,0
25,0,1,transition,0,0,1,0,0,0,0,0,0,clear,0,1,eye-level,white,mid,mid,0,0,0,1,0,1,0,0
26,1,0,day,0,0,1,1,0,0,0,0,0,clear,1,1,close-up,gray,close,old,0,0,0,1,0,0,0,0
27,1,1,night,0,0,0,0,1,0,0,1,0,clear,0,1,birds-eye,black,far,new,0,0,1,0,0,1,0,0
28,1,1,day,0,0,0,0,1,0,0,1,1,clear,0,1,close-up,yellow,close,old,0,0,0,1,0,0,0,1
29,0,1,day,0,1,1,0,0,0,0,1,0,cloudy,0,1,eye-level,gray,mid,old,1,0,1,1,0,0,1,0
30,1,1,day,0,0,0,0,1,1,0,1,0,clear,0,1,eye-level,green,mid,mid,0,0,0,1,0,0,0,1
31,0,0,unknown,0,0,1,0,0,0,0,1,0,inside,1,0,close-up,white,mid,old,0,0,0,0,0,0,1,0
32,1,1,day,1,0,0,0,0,1,0,0,0,clear,0,0,birds-eye,blue,mid,old,0,1,0,1,0,1,0,1
33,1,1,day,0,0,0,0,1,1,0,0,0,clear,1,0,close-up,brown,far,mid,0,0,0,1,0,0,1,1
34,0,0,unknown,1,0,0,0,0,0,0,1,0,inside,1,0,eye-level,black,mid,mid,0,0,0,1,0,1,0,1
35,1,1,day,1,0,1,0,1,0,1,1,0,clear,0,1,eye-level,gray,mid,mid,0,0,1,1,1,0,1,0
36,1,0,day,1,0,0,0,0,0,0,0,0,inside,0,0,eye-level,gray,close,old,0,0,0,1,1,0,0,0
